open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-11-27 02:52:00+00:00,91825.2,91942.56,91825.19,91880.0,159.95669,2025-11-27 02:52:59.999000+00:00,14697058.5253549,10252,127.01951,11670825.7035772,0
2025-11-27 02:53:00+00:00,91880.0,91950.0,91813.7,91849.16,117.77904,2025-11-27 02:53:59.999000+00:00,10820420.5601998,9996,94.38011,8670626.4418447,0
2025-11-27 02:54:00+00:00,91849.15,91903.76,91635.92,91641.38,61.78675,2025-11-27 02:54:59.999000+00:00,5670001.2608925,7139,42.3255,3884215.9349201,0
2025-11-27 02:55:00+00:00,91641.39,91654.39,91524.17,91526.0,35.97363,2025-11-27 02:55:59.999000+00:00,3294840.7066754,8411,17.40479,1594108.5049682,0
2025-11-27 02:56:00+00:00,91526.0,91526.0,91412.06,91420.18,39.57356,2025-11-27 02:56:59.999000+00:00,3619492.5033768,7126,14.48889,1325029.6010396,0
2025-11-27 02:57:00+00:00,91420.17,91485.32,91333.75,91403.58,38.22127,2025-11-27 02:57:59.999000+00:00,3493491.6446038,8994,25.87546,2365095.3056695,0
2025-11-27 02:58:00+00:00,91403.58,91477.0,91368.78,91477.0,22.13636,2025-11-27 02:58:59.999000+00:00,2023391.9592936,5513,16.02831,1465078.2803306,0
2025-11-27 02:59:00+00:00,91476.99,91477.0,91360.0,91389.21,17.22622,2025-11-27 02:59:59.999000+00:00,1574589.4048729,4376,4.92603,450225.6752803,0
2025-11-27 03:00:00+00:00,91389.73,91394.79,91309.81,91374.0,44.43255,2025-11-27 03:00:59.999000+00:00,4059395.6584935,9079,15.03185,1373263.5074522,0
2025-11-27 03:01:00+00:00,91373.99,91417.0,91366.38,91401.45,7.93535,2025-11-27 03:01:59.999000+00:00,725259.0613765,3107,6.13205,560432.457243,0
2025-11-27 03:02:00+00:00,91401.44,91401.45,91346.75,91364.65,7.04748,2025-11-27 03:02:59.999000+00:00,643958.5178544,4336,4.54091,414902.2260207,0
2025-11-27 03:03:00+00:00,91364.65,91401.3,91351.82,91394.04,18.06921,2025-11-27 03:03:59.999000+00:00,1651179.9817831,5035,9.48538,866738.5877199,0
2025-11-27 03:04:00+00:00,91394.05,91419.38,91385.04,91388.87,7.73881,2025-11-27 03:04:59.999000+00:00,707284.5875854,2419,5.82543,532403.0859292,0
2025-11-27 03:05:00+00:00,91388.86,91388.87,91332.58,91344.12,14.19182,2025-11-27 03:05:59.999000+00:00,1296514.0953031,5716,8.34508,762357.2475736,0
2025-11-27 03:06:00+00:00,91344.12,91414.98,91344.11,91400.01,28.87948,2025-11-27 03:06:59.999000+00:00,2639504.117738,6857,11.73585,1072486.4953567,0
2025-11-27 03:07:00+00:00,91400.0,91550.63,91400.0,91527.46,14.69977,2025-11-27 03:07:59.999000+00:00,1344924.4372521,7098,11.6178,1062850.1178575,0
2025-11-27 03:08:00+00:00,91526.56,91615.6,91509.37,91599.98,10.59658,2025-11-27 03:08:59.999000+00:00,970192.6037184,4399,8.75846,801876.8608811,0
2025-11-27 03:09:00+00:00,91599.99,91605.25,91485.87,91485.88,11.74896,2025-11-27 03:09:59.999000+00:00,1075932.5691918,5063,6.44096,589882.558105,0
2025-11-27 03:10:00+00:00,91485.87,91499.98,91445.69,91499.98,13.1443,2025-11-27 03:10:59.999000+00:00,1202287.593264,3328,8.11632,742454.3300673,0
2025-11-27 03:11:00+00:00,91499.98,91499.98,91423.73,91448.0,5.33288,2025-11-27 03:11:59.999000+00:00,487688.0080756,3811,3.22544,294943.3704917,0
2025-11-27 03:12:00+00:00,91448.0,91451.21,91422.54,91424.82,4.80539,2025-11-27 03:12:59.999000+00:00,439378.7129491,1800,3.28853,300686.9365164,0
2025-11-27 03:13:00+00:00,91424.83,91424.83,91332.58,91333.14,12.16831,2025-11-27 03:13:59.999000+00:00,1111674.1236586,4508,3.28758,300308.063405,0
2025-11-27 03:14:00+00:00,91333.15,91389.54,91333.14,91361.97,7.73634,2025-11-27 03:14:59.999000+00:00,706750.2944839,3399,4.57376,417838.1282809,0
2025-11-27 03:15:00+00:00,91361.96,91370.0,91312.63,91327.3,26.79719,2025-11-27 03:15:59.999000+00:00,2447856.1255476,4743,9.56078,873331.6297314,0
2025-11-27 03:16:00+00:00,91327.29,91399.99,91322.09,91399.98,16.26438,2025-11-27 03:16:59.999000+00:00,1485703.1790897,4794,12.96308,1184109.4520274,0
2025-11-27 03:17:00+00:00,91399.99,91458.6,91399.99,91452.0,9.98638,2025-11-27 03:17:59.999000+00:00,913199.9368506,3060,6.04911,553116.4834607,0
2025-11-27 03:18:00+00:00,91451.99,91580.0,91451.99,91574.35,12.16365,2025-11-27 03:18:59.999000+00:00,1113324.9238052,6561,8.40991,769694.3674448,0
2025-11-27 03:19:00+00:00,91574.35,91583.61,91539.5,91539.5,8.49508,2025-11-27 03:19:59.999000+00:00,777875.6235756,3751,2.69063,246381.6803038,0
2025-11-27 03:20:00+00:00,91539.5,91598.09,91539.5,91585.95,13.91524,2025-11-27 03:20:59.999000+00:00,1274089.1241293,4216,12.76109,1168398.445658,0
